accession,strain,gene,genotype
AB514929,A/swine/Tochigi/1/2008(H1N2),HA,H1
AB514936,A/swine/Ratchaburi/NIAH101942/2008(H1N1),HA,H1
AB537451,A/duck/Tsukuba/28/2006(H3N8),HA,H3
AB537471,A/duck/Tsukuba/65/2008(H3N8),HA,H3
AB546149,A/pintail/Aomori/422/2007(H1N1),HA,H1
AB546153,A/pintail/Aomori/794/2008(H1N1),HA,H1
AB546180,A/pintail/Aomori/1130/2008(H1N3),HA,H1
AB558473,A/chicken/Puebla/8623_607/1994(H5N2),HA,H5
AB558474,A/chicken/Queretaro/14588_19/1995(H5N2),HA,H5
AB598498,A/swine/Binh_Duong/03_06/2010(H3N2),HA,H3
AB600850,A/swine/Niigata/729/2004(H1N2),HA,H1
AB600851,A/swine/Saitama/1/2000(H1N2),HA,H1
AB600852,A/swine/Saitama/21/2004(H1N2),HA,H1
AB620163,A/swine/Saraburi/NIAH100761_22/2009(H1N1),HA,H1
AB620191,A/swine/Saraburi/NIAH107725_28/2008(H3N2),HA,H3
AB620199,A/swine/Saraburi/NIAH109713_36/2009(H3N2),HA,H3
AB669134,A/duck/Tsukuba/41/2005(H3N1),HA,H3
AB669136,A/duck/Tsukuba/561/2006(H6N1),HA,H6
AB669137,A/duck/Tsukuba/255/2005(H8N5),HA,H8
AB670330,A/duck/Tsukuba/718/2005(H1N1),HA,H1
AB704807,A/swine/Chonburi/NIAH106952_028/2011(H3N2),HA,H3
AB731585,A/swine/Gunma/1/2012(H1N2),HA,H1
AB741007,A/swine/Tochigi/2/2011(H1N2),HA,H1
AB741023,A/swine/Yokohama/aq114/2011(H3N2),HA,H3
AB762401,A/swine/Saitama/01/2005(H1N2),HA,H1
AB762412,A/swine/Osaka_C/0805/2007(H3N2),HA,H3
AB921006,A/swine/Miyazaki/2/2013(H3N2),HA,H3
AF117241,A/South_Carolina/1/18(H1N1),HA,H1
AF250479,A/Teal/Hong_Kong/W312/97(H6N1),HA,H6
AF455676,A/Swine/North_Carolina/98225/01(H1N2),HA,H1
AF455678,A/Swine/Minnesota/55551/00(H1N2),HA,H1
AF455680,A/Swine/Indiana/P12439/00(H1N2),HA,H1
AF455682,A/Swine/Illinois/100084/01(H1N2),HA,H1
AJ410526,A/Goose/Hong_Kong/W217/97(H6N9),HA,H6
AJ410527,A/goose/Hong_Kong/W222/97(H6N7),HA,H6
AJ410529,A/duck/Hong_Kong/323/98(H6N2),HA,H6
AJ410531,A/duck/Hong_Kong/1037_1/98(H6N2),HA,H6
AJ410532,A/duck/Hong_Kong/1037_2/98(H6N2),HA,H6
AJ410535,A/duck/Hong_Kong/3096/99(H6N2),HA,H6
AJ410536,A/duck/Hong_Kong/3174/99(H6N2),HA,H6
AJ410537,A/duck/Hong_Kong/3461/99(H6N1),HA,H6
AJ410540,A/duck/Hong_Kong/108/76(H6N5),HA,H6
AJ410542,A/duck/Hong_Kong/175/77(H6N1),HA,H6
AJ410544,A/duck/Hong_Kong/202/77(H6N1),HA,H6
AJ410545,A/duck/Hong_Kong/221/77(H6N8),HA,H6
AJ427297,A/aquatic_bird/Hong_Kong/399/99(H3N8),HA,H3
AJ427304,A/pet_bird/Hong_Kong/1559/99(H3N8),HA,H3
AJ841293,A/duck/Norway/1/2003(H3N8),HA,H3
AY038014,A/Turkey/MO/24093/99(H1N2),HA,H1
AY377927,A/swine/Pingtung/199_2/2002(H3N2),HA,H3
AY377936,A/swine/Pingtung/92_2/2003(H1N2),HA,H1
AY531037,A/Turkey/England/69(H3N2),HA,H3
AY619969,A/swine/Ontario/K01477/01(H3N3),HA,H3
CY037929,A/swine/France/WVL13/1995(H1N1),HA,H1
CY044008,A/northern_shoveler/Alaska/7MP1606/2007(H3N8),HA,H3
CY049764,A/mallard/Altai/1208/2007(H3N6),HA,H3
CY053821,A/pekin_duck/California/P30/2006(H4N2),HA,H4
CY067694,A/rosy_billed_pochard/Argentina/CIP051_557/2007(H6N2),HA,H6
CY067702,A/rosy_billed_pochard/Argentina/CIP051_575/2007(H6N8),HA,H6
CY067710,A/rosy_billed_pochard/Argentina/CIP051_925/2008(H6N2),HA,H6
CY086920,A/swine/Minnesota/239105/2009(H3N2),HA,H3
CY089810,A/swine/Thailand/CU_RP1/2010(H1N1),HA,H1
CY092177,A/duck/Western_Australia/8346/1987(H4N6),HA,H4
CY094549,A/mallard/California/6768/2009(H1N1),HA,H1
CY096053,A/rosy_billed_pochard/Argentina/CIP051_1977/2010(H6N2),HA,H6
CY097868,A/District_of_Columbia/WRAIR0313/2011(H1N1),HA,H1
CY098222,A/aquatic_bird/Korea/CN17/2009(H6N2),HA,H6
CY098230,A/aquatic_bird/Korea/CN20/2009(H6N1),HA,H6
CY098524,A/teal/Chany/444/2009(H8N8),HA,H8
CY098532,A/aquatic_bird/Korea/W69/2005(H6N5),HA,H6
CY099119,A/swine/Minnesota/02053/2008(H1N1),HA,H1
CY099215,A/swine/Minnesota/001444/2007(H3N2),HA,H3
CY099997,A/Rio_Grande_do_Sul/278/2011(H1N1),HA,H1
CY107015,A/swine/North_Carolina/A01076178/2009(H3N2),HA,H3
CY107020,A/swine/Indiana/A01076191/2010(H3N2),HA,H3
CY107035,A/swine/North_Carolina/A01076199/2010(H3N2),HA,H3
CY107058,A/swine/Minnesota/A01076218/2010(H3N2),HA,H3
CY107066,A/swine/Illinois/A01201606/2011(H3N2),HA,H3
CY108935,A/swine/Indiana/A00968355/2012(H1N1),HA,H1
CY109226,A/duck/Guangxi/1074/2006(H6N2),HA,H6
CY109266,A/duck/Guangxi/3333/2006(H6N1),HA,H6
CY109274,A/duck/Guangxi/3574/2006(H6N2),HA,H6
CY109306,A/duck/Guizhou/2773/2006(H6N2),HA,H6
CY109322,A/duck/Hunan/4056/2006(H6N8),HA,H6
CY109330,A/duck/Jiangxi/5748/2006(H6N2),HA,H6
CY109346,A/duck/Yunnan/3136/2006(H6N2),HA,H6
CY109354,A/duck/Shantou/8/2006(H6N2),HA,H6
CY109362,A/duck/Shantou/1165/2006(H6N6),HA,H6
CY109378,A/mallard_duck/Shantou/2459/2006(H6N2),HA,H6
CY109394,A/duck/Shantou/4026/2006(H6N2),HA,H6
CY109410,A/duck/Shantou/14167/2006(H6N2),HA,H6
CY109418,A/duck/Shantou/15808/2006(H6N2),HA,H6
CY109426,A/duck/Shantou/7904/2006(H6N2),HA,H6
CY109434,A/wild_duck/Shantou/9466/2006(H6N6),HA,H6
CY109450,A/duck/Shantou/14841/2006(H6N6),HA,H6
CY109482,A/duck/Fujian/416/2006(H6N2),HA,H6
CY109490,A/duck/Fujian/958/2006(H6N6),HA,H6
CY109522,A/duck/Fujian/3354/2006(H6N6),HA,H6
CY109538,A/duck/Fujian/4276/2006(H6N2),HA,H6
CY109618,A/duck/Guangxi/1533/2007(H6N2),HA,H6
CY109626,A/duck/Guangxi/2281/2007(H6N6),HA,H6
CY109634,A/duck/Guizhou/1073/2007(H6N8),HA,H6
CY109650,A/duck/Guizhou/1560/2007(H6N8),HA,H6
CY109658,A/duck/Guizhou/2492/2007(H6N1),HA,H6
CY109666,A/duck/Guizhou/5302/2007(H6N2),HA,H6
CY109674,A/duck/Guizhou/5482/2007(H6N2),HA,H6
CY109682,A/duck/Hunan/1590/2007(H6N9),HA,H6
CY109706,A/duck/Jiangxi/7348/2007(H6N2),HA,H6
CY109722,A/duck/Shantou/168/2007(H6N8),HA,H6
CY109730,A/duck/Shantou/358/2007(H6N6),HA,H6
CY109746,A/duck/Shantou/1080/2007(H6N2),HA,H6
CY109754,A/duck/Shantou/1240/2007(H6N6),HA,H6
CY109762,A/duck/Shantou/1984/2007(H6N6),HA,H6
CY109778,A/duck/Fujian/378/2007(H6N6),HA,H6
CY109794,A/duck/Fujian/1565/2007(H6N6),HA,H6
CY109810,A/duck/Fujian/2018/2007(H6N6),HA,H6
CY109941,A/duck/Shantou/2863/2006(H6N2),HA,H6
CY109947,A/duck/Shantou/3497/2006(H6N2),HA,H6
CY109961,A/duck/Shantou/5106/2006(H6N2),HA,H6
CY109983,A/duck/Shantou/11034/2006(H6N6),HA,H6
CY110015,A/duck/Shantou/15798/2006(H6N6),HA,H6
CY110023,A/duck/Shantou/16440/2006(H6N6),HA,H6
CY110073,A/duck/Fujian/7324/2006(H6N6),HA,H6
CY110075,A/duck/Fujian/7652/2006(H6N6),HA,H6
CY110081,A/duck/Fujian/8388/2006(H6N6),HA,H6
CY110099,A/duck/Fujian/887/2007(H6N2),HA,H6
CY110255,A/duck/Shantou/5066/2006(H6N2),HA,H6
CY110268,A/duck/Shantou/6089/2006(H6N2),HA,H6
CY110363,A/duck/Shantou/14519/2006(H6N2),HA,H6
CY110365,A/duck/Shantou/14531/2006(H6N6),HA,H6
CY110385,A/duck/Shantou/15048/2006(H6N6),HA,H6
CY110406,A/duck/Shantou/17036/2006(H6N6),HA,H6
CY110496,A/duck/Fujian/4676/2007(H6N6),HA,H6
CY110519,A/duck/Fujian/5614/2007(H6N6),HA,H6
CY110722,A/duck/Fujian/2749/2007(H6N6),HA,H6
CY110773,A/swine/Sarthe/0255/2010(H1N1),HA,H1
CY110941,A/duck/Hubei/10/2010(H6N6),HA,H6
CY114522,A/swine/Haute_Loire/0578/2011(H1N1),HA,H1
CY114525,A/swine/La_Reunion/110348/2010(H1N1),HA,H1
CY115881,A/swine/Brno/00/2000(H1N1),HA,H1
CY115888,A/swine/Eire/89/1996(H1N1),HA,H1
CY115904,A/swine/England/001195/2007(H1N1),HA,H1
CY115912,A/swine/England/002295/2002(H1N2),HA,H1
CY115919,A/swine/England/004772/2001(H1N1),HA,H1
CY115927,A/swine/England/010402/2003(H1N1),HA,H1
CY115935,A/swine/England/101692/1997(H1N1),HA,H1
CY115951,A/swine/England/1093/2005(H1N1),HA,H1
CY115967,A/swine/England/114065/1990(H1N1),HA,H1
CY115996,A/swine/England/163266/1987(H3N2),HA,H3
CY116004,A/swine/England/167655/1997(H1N1),HA,H1
CY116020,A/swine/England/17788/2000(H1N1),HA,H1
CY116028,A/swine/England/193667/1998(H1N1),HA,H1
CY116066,A/swine/England/254/2002(H1N1),HA,H1
CY116095,A/swine/England/285393/1993(H3N2),HA,H3
CY116103,A/swine/England/303/2009(H1N2),HA,H1
CY116119,A/swine/England/35320/1999(H1N1),HA,H1
CY116135,A/swine/England/375017/1993(H3N2),HA,H3
CY116143,A/swine/England/383/2005(H1N1),HA,H1
CY116151,A/swine/England/39572/2001(H1N1),HA,H1
CY116159,A/swine/England/40280/1996(H1N2),HA,H1
CY116167,A/swine/England/410711/1994(H1N1),HA,H1
CY116175,A/swine/England/425069/1994(H3N2),HA,H3
CY116190,A/swine/England/43142/2001(H1N2),HA,H1
CY116222,A/swine/England/57610/1999(H1N1),HA,H1
CY116230,A/swine/England/60797/2000(H1N2),HA,H1
CY116236,A/swine/England/612/2006(H1N1),HA,H1
CY116244,A/swine/England/61605/1998(H1N2),HA,H1
CY116260,A/swine/England/645913/1996(H1N2),HA,H1
CY116268,A/swine/England/661263/1997(H1N2),HA,H1
CY116299,A/swine/England/771270/1995(H1N1),HA,H1
CY116330,A/swine/England/90591/1997(H3N2),HA,H3
CY116343,A/swine/England/P185/2008(H1N2),HA,H1
CY116356,A/swine/Finnistere/800/2004(H1N1),HA,H1
CY116372,A/swine/Cotes_d'Armor/1190/2002(H1N2),HA,H1
CY116388,A/swine/Cotes_d'Armor/1624/2002(H1N1),HA,H1
CY116404,A/swine/OMS/2112/1995(H1N1),HA,H1
CY116418,A/swine/Gent/100/2007(H1N2),HA,H1
CY116426,A/swine/Gent/112/2007(H1N1),HA,H1
CY116442,A/swine/Gent/177/2002(H1N2),HA,H1
CY116458,A/swine/Italy/1513_1/1998(H1N1),HA,H1
CY116466,A/swine/Italy/151672_3/2003(H1N1),HA,H1
CY116474,A/swine/Italy/15360_3/2001(H3N2),HA,H3
CY116487,A/swine/Italy/172336/2001(H1N1),HA,H1
CY116495,A/swine/Italy/186678_2/2005(H1N1),HA,H1
CY116503,A/swine/Italy/272121_1/2002(H3N2),HA,H3
CY116519,A/swine/Italy/29313/2006(H1N1),HA,H1
CY116531,A/swine/Lutol/3/2000(H1N1),HA,H1
CY116550,A/swine/Spain/40564/2002(H1N2),HA,H1
CY116558,A/swine/Spain/82108/2007(H3N2),HA,H3
CY122318,A/swine/South_Dakota/3/2012(H3N2),HA,H3
CY122321,A/swine/Minnesota/4/2012(H3N2),HA,H3
CY122324,A/swine/Minnesota/5/2012(H1N1),HA,H1
CY125711,A/swine/Indiana/A00968365/2012(H1N1),HA,H1
CY130677,A/swine/Ohio/09SW73E/2009(H3N2),HA,H3
CY132357,A/mallard/Ohio/11OS2096/2011(H4N8),HA,H4
CY137618,A/mallard/Alberta/240/2005(H1N1),HA,H1
CY146620,A/duck/Hunan/S1661/2012(H6N6),HA,H6
CY146628,A/duck/Hunan/S1824/2012(H3N8),HA,H3
CY157607,A/swine/Texas/00226/2003(H3N2),HA,H3
CY157623,A/swine/Texas/SG1162/2003(H1N1),HA,H1
CY157671,A/swine/Minnesota/SG1176/2003(H3N2),HA,H3
CY157679,A/swine/Nebraska/SG1178/2003(H3N2),HA,H3
CY157695,A/swine/Colorado/SG1185/2004(H1N1),HA,H1
CY157751,A/swine/Missouri/00355/2004(H3N2),HA,H3
CY157759,A/swine/Kansas/00246/2004(H1N2),HA,H1
CY157799,A/swine/Oklahoma/SG1216/2005(H3N2),HA,H3
CY157895,A/swine/Oklahoma/SG1243/2006(H1N1),HA,H1
CY158015,A/swine/Texas/01822/2007(H3N1),HA,H3
CY158201,A/swine/North_Carolina/SG1309/2008(H1N1),HA,H1
CY158265,A/swine/Colorado/SG1322/2009(H1N1),HA,H1
CY158353,A/swine/Minnesota/02817/2009(H1N1),HA,H1
CY158385,A/swine/Oklahoma/SG1251/2010(H1N1),HA,H1
CY158393,A/swine/Texas/03042/2010(H3N2),HA,H3
CY158425,A/swine/North_Carolina/SG1361/2010(H1N1),HA,H1
CY158561,A/swine/Iowa/03734/2011(H3N2),HA,H3
CY158577,A/swine/Iowa/SG1401/2011(H1N1),HA,H1
CY158673,A/swine/Manitoba/01781/2007(H1N1),HA,H1
CY158681,A/swine/Manitoba/01782/2007(H3N2),HA,H3
CY158729,A/swine/Manitoba/SG1433/2009(H1N1),HA,H1
CY158761,A/swine/Manitoba/02947/2010(H1N1),HA,H1
CY158769,A/swine/Manitoba/SG1438/2011(H3N2),HA,H3
CY158817,A/swine/North_Carolina/00116/2003(H3N2),HA,H3
CY158865,A/swine/Alabama/SG1224/2005(H3N2),HA,H3
CY159049,A/swine/Saskatchewan/01974/2008(H1N1),HA,H1
CY159073,A/swine/Saskatchewan/SD0001/2011(H3N2),HA,H3
CY159129,A/swine/Nebraska/00188/2003(H3N2),HA,H3
CY159289,A/swine/Texas/00816/2005(H3N2),HA,H3
CY160137,A/swine/Minnesota/SG1404/2011(H1N1),HA,H1
CY160213,A/swine/Manitoba/02185/2008(H1N1),HA,H1
CY183401,A/mallard/Sweden/5932/2005(H10N7),HA,H10
CY183645,A/mallard/Sweden/3151/2003(H10N7),HA,H10
CY183661,A/mallard/Sweden/4401/2004(H10N4),HA,H10
CY183710,A/mallard/Sweden/8023/2005(H10N4),HA,H10
CY183831,A/mallard/Sweden/93475/2009(H10N6),HA,H10
CY185441,A/mallard/Republic_of_Georgia/4/2010(H1N1),HA,H1
CY185745,A/mallard/Alberta/93/1996(H7N3),HA,H7
CY194014,A/Japan/4761/2015(H3N2),HA,H3
CY194229,A/swine/Manitoba/D0091/2012(H3N2),HA,H3
CY194253,A/swine/Manitoba/D0093/2012(H3N2),HA,H3
CY194269,A/swine/Manitoba/D0095/2012(H3N2),HA,H3
CY194317,A/swine/Manitoba/D0098/2012(H3N2),HA,H3
CY194349,A/swine/Manitoba/D0102/2012(H3N2),HA,H3
CY194389,A/swine/Manitoba/D0176/2012(H3N2),HA,H3
CY194413,A/swine/Manitoba/D0177/2012(H3N2),HA,H3
CY194437,A/swine/Manitoba/D0180/2012(H3N2),HA,H3
CY194445,A/swine/Alabama/D0383/2012(H3N2),HA,H3
CY194517,A/swine/Manitoba/D0083/2013(H3N2),HA,H3
CY194821,A/swine/Manitoba/D0271/2013(H3N2),HA,H3
CY194893,A/swine/Manitoba/D0280/2013(H3N2),HA,H3
CY194901,A/swine/Manitoba/D0281/2013(H3N2),HA,H3
CY195022,A/swine/Maryland/D0384/2013(H3N2),HA,H3
CY195078,A/swine/Alberta/SD0014/2013(H1N1),HA,H1
CY195303,A/swine/Manitoba/D0349/2014(H3N2),HA,H3
CY195327,A/swine/Alberta/SD0038/2014(H3N2),HA,H3
CY195351,A/swine/Manitoba/D0354/2014(H3N2),HA,H3
CY195367,A/swine/Saskatchewan/SD0045/2014(H3N2),HA,H3
CY195415,A/swine/Manitoba/D0360/2014(H3N2),HA,H3
CY195455,A/swine/Saskatchewan/SD0056/2014(H1N1),HA,H1
CY195519,A/swine/Manitoba/D0373/2015(H3N2),HA,H3
CY219529,A/swine/Iowa/16TOSU2424/2016(H3N2),HA,H3
CY244386,A/Florida/6274/2017(H3N2),HA,H3
CY245689,A/swine/Alberta/SD0079/2015(H3N2),HA,H3
CY245729,A/swine/Manitoba/SD0084/2015(H3N2),HA,H3
CY245737,A/swine/Manitoba/SD0085/2015(H3N2),HA,H3
CY245793,A/swine/Manitoba/D0395/2015(H3N2),HA,H3
CY245841,A/swine/Manitoba/D0430/2015(H3N2),HA,H3
CY245993,A/swine/Saskatchewan/SD0126/2015(H3N2),HA,H3
CY246009,A/swine/Manitoba/SD0130/2015(H3N2),HA,H3
CY246065,A/swine/British_Columbia/SD0132/2016(H3N2),HA,H3
CY246137,A/swine/Manitoba/SD0151/2016(H3N2),HA,H3
CY246227,A/swine/Alberta/SD0164/2016(H1N2),HA,H1
CY246532,A/swine/Manitoba/D0460/2016(H3N2),HA,H3
CY246660,A/swine/Manitoba/D0471/2016(H3N2),HA,H3
CY246668,A/swine/Manitoba/D0472/2016(H3N2),HA,H3
CY246692,A/swine/Manitoba/D0475/2016(H3N2),HA,H3
D00839,A/duck/HK/196/1977(H1),HA,H1
DQ145537,A/swine/Minnesota/00395/2004(H3N1),HA,H3
DQ280195,A/swine/Ontario/57561/03(H1N1),HA,H1
DQ280219,A/swine/Ontario/53518/03(H1N1),HA,H1
DQ280243,A/swine/Ontario/23866/04(H1N1),HA,H1
DQ415320,A/TW/3446/02(H3N2),HA,H3
DQ469978,A/swine/British_Columbia/28103/2005(H3N2),HA,H3
DQ889689,A/Iowa/CEID23/2005(H1N1),HA,H1
DQ923506,A/swine/Korea/PZ72_1/2006(H3N1),HA,H3
EF467826,A/chicken/England/4054/2006(H7N3),HA,H7
EF493185,A/kunke/1/71(H3N2),HA,H3
EU045362,A/swine/Italy/600/1999(H3N2),HA,H3
EU103738,A/Denmark/64/2006(H3N2),HA,H3
EU139824,A/swine/Iowa/1945(H1N1),HA,H1
EU139825,A/swine/Wisconsin/1/1968(H1N1),HA,H1
EU139827,A/swine/Minnesota/37866/1999(H1N1),HA,H1
EU139829,A/swine/North_Carolina/36883/2002(H1N1),HA,H1
EU296607,A/swine/Saraburi/NIAH13021/2005(H1N2),HA,H1
EU296619,A/swine/Ratchaburi/NIAH9426/2005(H3N2),HA,H3
EU301213,A/aquatic_bird/Korea/CN_4/2006(H3N3),HA,H3
EU301221,A/duck/Korea/LPM01/2004(H3N2),HA,H3
EU301228,A/duck/Korea/LPM36/2005(H3N6),HA,H3
EU399751,A/Ontario/1252/2007(H3N2),HA,H3
EU422987,A/swine/Iowa/H02AS8/2002(H3N2),HA,H3
EU422988,A/swine/Iowa/H03HO7/2003(H3N2),HA,H3
EU493448,A/mallard/Finland/12072/06(H3N8),HA,H3
EU516033,A/New_Jersey/14/2007(H3N2),HA,H3
EU557521,A/northern_pintail/Alaska/44204_073/2006(H8N4),HA,H8
EU566973,A/Wisconsin/34/2007(H3N2),HA,H3
EU798781,A/swine/Korea/JL01/2005(H1N2),HA,H1
EU798782,A/swine/Korea/JL02/2005(H1N2),HA,H1
EU798790,A/swine/Korea/CAN04/2005(H3N2),HA,H3
EU798793,A/swine/Korea/CY04/2007(H3N2),HA,H3
EU798795,A/swine/Korea/CY07/2007(H3N2),HA,H3
EU826543,A/swine/Quebec/4001/2005(H3N2),HA,H3
EU856853,A/Hong_Kong/CUHK13048/2001(H3N2),HA,H3
EU856909,A/Hong_Kong/CUHK21259/2004(H3N2),HA,H3
EU856925,A/Hong_Kong/CUHK22162/2000(H3N2),HA,H3
EU857031,A/Hong_Kong/CUHK51424/2001(H3N2),HA,H3
EU982295,A/swine/Italy/10659_1/2007(H3N2),HA,H3
EU982296,A/swine/Italy/50127/2007(H3N2),HA,H3
FJ009466,A/Cheongju/H380/2007(H3N2),HA,H3
FJ415610,A/swine/Zhejiang/1/2007(H1N1),HA,H1
FJ752510,A/swine/Taichung/200_8/2002(H1N1),HA,H1
FJ752514,A/swine/Taichung/E3/1992(H1N1),HA,H1
FJ752522,A/swine/Pingtung/64_26/2007(H1N1),HA,H1
FJ798772,A/swine/Hungary/13509/2007(H3N2),HA,H3
FJ798777,A/swine/Hungary/19774/2006(H1N1),HA,H1
FJ839904,A/swine/Tainan/103_11/2003(H3N1),HA,H3
FJ839909,A/swine/Pingtung/7_12/1999(H1N2),HA,H1
FJ844364,A/swine/Tainan/46_4/2005(H1N2),HA,H1
FN386463,A/Anas_plathyrhynchos/Spain/1365/2007(H1N1),HA,H1
FN429078,A/swine/Germany/SIV04/2008(H1N1),HA,H1
GQ229269,A/swine/Hong_Kong/915/2004(H1N2),HA,H1
GQ229333,A/swine/Hong_Kong/1562/2005(H1N2),HA,H1
GQ240821,A/mallard/Hungary/19616/2007(H3N8),HA,H3
GQ405861,A/swine/Tianjin/1/2004(H1N2),HA,H1
GQ414864,A/mallard/Korea/L08_8/2008(H6N1),HA,H6
GQ495132,A/swine/Sweden/1021/2009(H1N2),HA,H1
GU135883,A/swine/Iowa/H02PW7/2002(H1N1),HA,H1
GU135918,A/swine/Iowa/H03HB4/2003(H3N2),HA,H3
GU215026,A/swine/Jilin/19/2007(H3N2),HA,H3
GU215034,A/swine/Jilin/37/2008(H3N2),HA,H3
HF674888,A/swine/Spain/SF11131/2007(H1N1),HA,H1
HF674896,A/Swine/Spain/80598LP1/2007(H3N2),HA,H3
HF674912,A/Swine/Spain/80598LP4/2007(H1N2),HA,H1
HM144388,A/mallard/Jiangxi/227/2003(H6N1),HA,H6
HM144389,A/mallard/Jiangxi/6845/2003(H6N1),HA,H6
HM144392,A/duck/Hunan/177/2005(H6N1),HA,H6
HM144396,A/duck/Shantou/83/2000(H6N2),HA,H6
HM144397,A/duck/Shantou/259/2000(H6N2),HA,H6
HM144403,A/wild_duck/Shantou/261/2001(H6N2),HA,H6
HM144405,A/duck/Shantou/1090/2001(H6N2),HA,H6
HM144408,A/wild_duck/Shantou/1381/2001(H6N2),HA,H6
HM144411,A/wild_duck/Shantou/2026/2001(H6N2),HA,H6
HM144413,A/wild_duck/Shantou/2395/2001(H6N2),HA,H6
HM144417,A/duck/Shantou/3939/2001(H6N2),HA,H6
HM144420,A/duck/Shantou/4267/2001(H6N2),HA,H6
HM144425,A/duck/Shantou/5507/2001(H6N2),HA,H6
HM144426,A/duck/Shantou/5525/2001(H6N2),HA,H6
HM144444,A/duck/Shantou/1211/2002(H6N2),HA,H6
HM144446,A/duck/Shantou/1217/2002(H6N2),HA,H6
HM144450,A/wild_duck/Shantou/1494/2002(H6N2),HA,H6
HM144461,A/duck/Hunan/573/2002(H6N2),HA,H6
HM144465,A/wild_duck/Shantou/852/2003(H6N2),HA,H6
HM144467,A/duck/Shantou/925/2003(H6N2),HA,H6
HM144468,A/duck/Shantou/1658/2003(H6N2),HA,H6
HM144472,A/wild_duck/Shantou/2853/2003(H6N2),HA,H6
HM144473,A/wild_duck/Shantou/3155/2003(H6N2),HA,H6
HM144474,A/duck/Shantou/3274/2003(H6N2),HA,H6
HM144476,A/duck/Shantou/3550/2003(H6N2),HA,H6
HM144479,A/duck/Shantou/171/2004(H6N2),HA,H6
HM144482,A/wild_duck/Shantou/4086/2004(H6N2),HA,H6
HM144484,A/wild_duck/Shantou/5769/2004(H6N2),HA,H6
HM144485,A/duck/Shantou/6847/2004(H6N2),HA,H6
HM144486,A/wild_duck/Shantou/7307/2004(H6N2),HA,H6
HM144495,A/duck/Shantou/4617/2005(H6N2),HA,H6
HM144497,A/duck/Shantou/5808/2005(H6N2),HA,H6
HM144509,A/duck/Shantou/22596/2005(H6N2),HA,H6
HM144511,A/duck/Guangxi/1598/2005(H6N2),HA,H6
HM144512,A/duck/Guangxi/3459/2005(H6N2),HA,H6
HM144513,A/duck/Hunan/491/2005(H6N2),HA,H6
HM144514,A/duck/Hunan/908/2005(H6N2),HA,H6
HM144517,A/duck/Fujian/420/2005(H6N2),HA,H6
HM144522,A/duck/Fujian/3701/2005(H6N2),HA,H6
HM144532,A/duck/Hunan/5613/2003(H6N5),HA,H6
HM144537,A/duck/Hunan/748/2005(H6N5),HA,H6
HM144555,A/mallard/Jiangxi/6285/2004(H6N8),HA,H6
HM144557,A/wild_duck/Shantou/311/2001(H6N9),HA,H6
HM189308,A/swine/Guangdong/1/2010(H1N1),HA,H1
HM217202,A/swine/Minnesota/03008/2010(H3N2),HA,H3
HM581919,A/Iran/15583/2009(H1N1),HA,H1
HM626482,A/swine/Sweden/9706/2010(H1N2),HA,H1
HM628693,A/Acre/15093/2010(H3N2),HA,H3
HM754648,A/swine/Liaoning/32/2006(H1N1),HA,H1
HM765432,A/swine/Heilongjiang/10/2007(H3N2),HA,H3
HQ336713,A/duck/Nanjing/19/2010(H1N3),HA,H1
HQ378732,A/swine/Iowa/46519_2/2008(H1N1),HA,H1
HQ378735,A/swine/Iowa/46519_3/2008(H1N1),HA,H1
HQ419007,A/Shiraz/4/2010(H1N1),HA,H1
HQ424885,A/swine/Iowa/44837_1/2009(H1N1),HA,H1
HQ541649,A/swine/Hunan/26/2010(H1N1),HA,H1
HQ599858,A/duck/Guangxi/038/2009(H6N6),HA,H6
HQ647010,A/duck/Guangxi/69/2009(H3N8),HA,H3
HQ695986,A/swine/Jangsu/434/2010(H1N1),HA,H1
HQ734195,A/swine/Illinois/53612_4/2009(H3N2),HA,H3
HQ833574,A/swine/Ohio/FAH2_1/2008(H1N1),HA,H1
HQ874606,A/chicken/Guangxi/2117/2010(H3N8),HA,H3
HQ897965,A/mallard/Korea/KNU_YP09/2009(H1N1),HA,H1
JF279885,A/swine/Costa_Rica/000125_3/2010(H1N1),HA,H1
JF290391,A/swine/England/1382/2010(H1N2),HA,H1
JF298001,A/swine/England/1389/2010(H1N1),HA,H1
JF312071,A/swine/Iowa/A01057188/2010(H3N2),HA,H3
JF316643,A/swine/Pennsylvania/057108_1/2010(H3N2),HA,H3
JF713820,A/swine/QC/368/2009(H1N1),HA,H1
JF713916,A/swine/QC/1792_1/2009(H1N1),HA,H1
JF713952,A/swine/QC/3399_6/2009(H1N1),HA,H1
JF714020,A/SW/MB/5_5/2009(H1N1),HA,H1
JF812271,A/swine/Iowa/A01049003/2010(H1N1),HA,H1
JF833339,A/swine/Iowa/A01049148/2010(H1N1),HA,H1
JF833343,A/swine/North_Carolina/A01049173/2010(H1N1),HA,H1
JF833345,A/swine/Iowa/A01049185/2010(H3N2),HA,H3
JF929743,A/Guangdong/sz1/2011(H1N1),HA,H1
JF965143,A/chicken/Eastern_China/49/2010(H6N6),HA,H6
JF965144,A/duck/Eastern_China/1/2008(H6N1),HA,H6
JF965158,A/duck/Eastern_China/29/2004(H6N2),HA,H6
JF965161,A/duck/Eastern_China/38/2007(H6N2),HA,H6
JF965163,A/duck/Eastern_China/40/2007(H6N2),HA,H6
